LDAY,LTIM[HMS],LAT[DEG],LON[DEG],MOD,RT,WV[MM],WV1[MM],WV2[MM],WV3[MM],DET,P[MB],GWV[MM],LI[K],CA,GLI,TSK[K],CIN,GCIN,GWV1,GWV2,GWV3
2014095,156,50.4564,114.0136,0,21,4.99,1.80,2.18,0.99,3,862.0,5.47,3.1,0.0,1.5,275.00,,30.0,2.40,2.28,0.78
2014095,156,50.4937,113.3277,0,21,5.43,1.92,2.38,1.10,3,891.0,6.70,4.2,,1.8,276.29,,10.0,2.66,2.93,1.08
2014095,156,49.9108,122.5330,0,21,5.54,1.97,2.83,0.72,2,824.0,6.30,6.9,,6.5,267.77,,,2.55,3.04,0.69
2014095,156,49.9423,121.5944,0,21,5.58,2.13,2.67,0.75,2,839.0,6.51,6.8,2.0,5.8,267.34,0.0,,2.78,2.95,0.76
2014095,156,49.9590,121.1225,0,21,6.47,2.50,3.01,0.94,2,887.0,7.78,6.4,,6.0,274.63,,,3.13,3.59,1.04
2014095,156,49.9647,120.9648,0,21,6.07,2.40,2.75,0.90,2,871.0,6.97,6.2,2.0,5.2,275.53,0.0,0.0,2.86,3.17,0.92
2014095,156,49.9763,120.6487,0,21,5.78,2.22,2.56,0.98,2,871.0,7.00,6.2,2.0,4.8,275.43,0.0,0.0,2.83,3.17,0.98
2014095,156,49.9822,120.4904,0,21,5.78,2.38,2.50,0.88,2,854.0,6.43,5.7,1.0,5.0,276.87,0.0,,2.69,2.84,0.88
2014095,156,49.9881,120.3318,0,21,4.81,1.79,2.30,0.70,2,829.0,5.83,5.7,,4.4,276.69,,,2.43,2.63,0.75
2014095,156,49.9942,120.1730,0,21,4.77,1.77,2.29,0.68,2,829.0,6.06,4.1,3.0,2.4,275.25,0.0,0.0,2.51,2.76,0.78
2014095,156,50.0003,120.0140,0,21,6.00,2.27,2.77,0.93,2,870.0,7.77,4.7,2.0,3.1,274.91,0.0,0.0,3.01,3.61,1.13
2014095,156,50.0795,118.0869,0,21,7.22,2.61,3.55,1.02,2,854.0,8.19,4.2,1.0,2.9,271.43,,0.0,3.31,3.94,0.91
2014095,156,50.1307,116.9453,0,21,7.51,2.91,3.64,0.95,2,852.0,7.53,4.3,0.0,3.6,270.00,,0.0,3.33,3.45,0.72
2014095,156,50.1617,116.2864,0,21,5.39,2.07,2.79,0.51,2,805.0,6.36,3.7,1.0,5.6,265.09,,,2.64,3.17,0.53
2014095,156,50.1697,116.1210,0,21,4.58,1.93,2.26,0.37,2,790.0,5.55,4.5,1.0,8.3,271.74,,,2.41,2.72,0.41
2014095,156,50.1777,115.9552,0,21,5.76,2.22,2.88,0.63,2,836.0,7.11,4.7,1.0,3.1,276.40,0.0,0.0,2.99,3.43,0.67
2014095,156,50.1940,115.6226,0,21,5.70,2.06,3.05,0.57,2,805.0,5.76,4.2,8.0,6.5,269.40,0.0,,2.44,2.86,0.43
2014095,156,50.2363,114.7854,0,21,3.36,1.42,1.67,0.26,2,745.0,3.64,3.0,1.0,2.3,263.40,,,1.71,1.67,0.24
2014095,156,50.2450,114.6169,0,21,3.88,1.67,1.84,0.35,2,774.0,4.14,2.9,2.0,2.4,272.30,0.0,0.0,1.94,1.84,0.35
2014095,156,50.2538,114.4481,0,21,4.30,1.80,1.98,0.50,2,810.0,4.93,2.5,0.0,1.1,273.81,,6.0,2.19,2.21,0.52
2014095,156,50.2627,114.2789,0,21,5.09,2.11,2.19,0.76,2,840.0,5.64,2.3,,1.2,275.96,,,2.55,2.38,0.69
2014095,156,50.2717,114.1094,0,21,5.28,2.23,2.23,0.79,2,850.0,5.59,2.3,,1.6,276.25,,,2.49,2.33,0.76
2014095,156,50.2808,113.9394,0,21,5.89,2.56,2.47,0.83,2,856.0,5.62,1.4,1.0,1.4,277.06,,,2.47,2.32,0.80
2014095,156,50.2899,113.7691,0,21,5.20,2.00,2.25,0.92,2,872.0,6.12,3.2,,1.3,278.93,,25.0,2.56,2.61,0.92
2014095,156,49.7907,120.8671,0,21,6.10,2.36,2.77,0.96,1,865.0,6.77,6.4,1.0,5.5,269.16,0.0,0.0,2.82,3.03,0.90
2014095,156,49.8023,120.5520,0,21,5.41,2.11,2.35,0.93,1,861.0,6.58,6.6,2.0,5.1,272.36,0.0,0.0,2.75,2.92,0.90
2014095,156,49.8325,119.7607,0,21,5.52,2.11,2.54,0.85,1,871.0,7.21,5.1,4.0,3.4,281.98,0.0,0.0,2.80,3.39,1.01
2014095,156,49.8388,119.6017,0,21,6.01,2.39,2.75,0.84,1,855.0,6.51,4.0,1.0,3.3,280.67,,0.0,2.65,2.99,0.85
2014095,156,49.8580,119.1235,0,21,6.94,2.51,3.36,1.05,1,855.0,7.17,3.2,13.0,2.5,272.18,0.0,0.0,2.83,3.39,0.93
2014095,156,49.9796,116.3689,0,21,4.38,1.76,2.25,0.35,1,775.0,5.36,4.4,1.0,9.1,266.69,0.0,,2.42,2.55,0.37
2014095,156,49.9874,116.2043,0,21,4.13,1.71,2.09,0.32,1,775.0,5.23,4.9,2.0,9.3,267.94,0.0,,2.37,2.48,0.36
2014095,156,49.9954,116.0393,0,21,5.61,2.10,2.95,0.55,1,805.0,6.18,3.7,5.0,5.8,265.38,0.0,,2.59,3.06,0.51
2014095,156,50.0532,114.8758,0,21,5.16,2.16,2.52,0.47,1,789.0,5.50,2.7,1.0,7.2,269.38,,,2.45,2.58,0.45
